,Date,Month,Day,Solar Flare Event
0,2020/01/01,1,01,0
1,2020/01/02,1,02,0
2,2020/01/03,1,03,1
3,2020/01/04,1,04,0
4,2020/01/05,1,05,0
5,2020/01/06,1,06,0
6,2020/01/07,1,07,0
7,2020/01/08,1,08,0
8,2020/01/09,1,09,0
9,2020/01/10,1,10,1
10,2020/01/11,1,11,0
11,2020/01/12,1,12,0
12,2020/01/13,1,13,0
13,2020/01/14,1,14,0
14,2020/01/15,1,15,0
15,2020/01/16,1,16,1
16,2020/01/17,1,17,0
17,2020/01/18,1,18,0
18,2020/01/19,1,19,1
19,2020/01/20,1,20,0
20,2020/01/21,1,21,0
21,2020/01/22,1,22,0
22,2020/01/23,1,23,0
23,2020/01/24,1,24,1
24,2020/01/25,1,25,1
25,2020/01/26,1,26,0
26,2020/01/27,1,27,0
27,2020/01/28,1,28,0
28,2020/01/29,1,29,0
29,2020/01/30,1,30,0
30,2020/01/31,1,31,1
31,2020/02/01,2,01,0
32,2020/02/02,2,02,0
33,2020/02/03,2,03,0
34,2020/02/04,2,04,0
35,2020/02/05,2,05,0
36,2020/02/06,2,06,0
37,2020/02/07,2,07,1
38,2020/02/08,2,08,0
39,2020/02/09,2,09,0
40,2020/02/10,2,10,0
41,2020/02/11,2,11,0
42,2020/02/12,2,12,0
43,2020/02/13,2,13,0
44,2020/02/14,2,14,0
45,2020/02/15,2,15,0
46,2020/02/16,2,16,0
47,2020/02/17,2,17,0
48,2020/02/18,2,18,0
49,2020/02/19,2,19,0
50,2020/02/20,2,20,1
51,2020/02/21,2,21,0
52,2020/02/22,2,22,0
53,2020/02/23,2,23,0
54,2020/02/24,2,24,0
55,2020/02/25,2,25,0
56,2020/02/26,2,26,1
57,2020/02/27,2,27,0
58,2020/02/28,2,28,0
59,2020/03/01,3,01,0
60,2020/03/02,3,02,0
61,2020/03/03,3,03,0
62,2020/03/04,3,04,1
63,2020/03/05,3,05,0
64,2020/03/06,3,06,0
65,2020/03/07,3,07,0
66,2020/03/08,3,08,0
67,2020/03/09,3,09,0
68,2020/03/10,3,10,0
69,2020/03/11,3,11,1
70,2020/03/12,3,12,0
71,2020/03/13,3,13,0
72,2020/03/14,3,14,0
73,2020/03/15,3,15,0
74,2020/03/16,3,16,0
75,2020/03/17,3,17,1
